marketing_id,campaign_source,promo_code_used,acquisition_cost_usd
MKT001,Search Ad,SAVE10,6.00
MKT002,Billboard,WELCOME50,13.93
MKT003,Search Ad,SAVE10,32.07
MKT004,Organic,SAVE10,28.62
MKT005,Social Media,SAVE10,8.75
MKT006,Influencer,SAVE10,27.45
MKT007,Search Ad,NONE,13.82
MKT008,Organic,STREAMFREE,37.38
MKT009,Social Media,WELCOME50,32.93
MKT010,Billboard,STREAMFREE,11.22
MKT011,Billboard,SAVE10,8.71
MKT012,Social Media,STREAMFREE,38.90
MKT013,Organic,STREAMFREE,37.29
MKT014,Search Ad,NONE,26.45
MKT015,Email,SAVE10,27.08
MKT016,Search Ad,STREAMFREE,28.09
MKT017,Search Ad,SAVE10,6.83
MKT018,Influencer,STREAMFREE,44.41
MKT019,Influencer,SAVE10,20.21
MKT020,Email,STREAMFREE,11.51
MKT021,Billboard,WELCOME50,31.81
MKT022,Search Ad,SAVE10,29.37
MKT023,Influencer,WELCOME50,11.54
MKT024,Email,STREAMFREE,44.58
MKT025,Search Ad,WELCOME50,32.38
MKT026,Social Media,WELCOME50,37.87
MKT027,Billboard,NONE,15.71
MKT028,Influencer,STREAMFREE,13.51
MKT029,Email,NONE,40.39
MKT030,Search Ad,NONE,10.71
MKT031,Influencer,WELCOME50,34.80
MKT032,Organic,STREAMFREE,34.88
MKT033,Email,NONE,19.48
MKT034,Influencer,NONE,8.64
MKT035,Social Media,SAVE10,11.11
MKT036,Influencer,NONE,28.86
MKT037,Email,NONE,28.84
MKT038,Email,STREAMFREE,43.84
MKT039,Social Media,SAVE10,32.27
MKT040,Organic,STREAMFREE,35.74
MKT041,Billboard,SAVE10,16.74
MKT042,Influencer,NONE,5.13
MKT043,Search Ad,STREAMFREE,43.88
MKT044,Influencer,SAVE10,39.82
MKT045,Billboard,WELCOME50,11.11
MKT046,Influencer,SAVE10,28.96
MKT047,Email,SAVE10,9.47
MKT048,Billboard,STREAMFREE,14.58
MKT049,Influencer,SAVE10,8.43
MKT050,Email,SAVE10,44.12
