viewer_id,age,gender,subscription_tier,viewer_country_id,preferred_native_language_id
VWR0001,55,Female,Standard,7,60
VWR0002,55,Female,Premium,4,10
VWR0003,57,Female,Standard,6,50
VWR0004,32,Non-Binary,Basic,1,10
VWR0005,27,Male,Standard,7,60
VWR0006,22,Female,Basic,1,10
VWR0007,46,Male,Standard,3,30
VWR0008,33,Female,Standard,2,20
VWR0009,40,Male,Standard,2,110
VWR0010,56,Female,Premium,4,10
VWR0011,35,Female,Premium,10,40
VWR0012,49,Female,Basic,4,10
VWR0013,45,Female,Basic,1,10
VWR0014,47,Female,Basic,8,70
VWR0015,53,Female,Premium,2,120
VWR0016,41,Male,Standard,1,10
VWR0017,46,Male,Basic,1,10
VWR0018,39,Male,Standard,4,10
VWR0019,56,Male,Standard,2,20
VWR0020,43,Male,Standard,5,40
VWR0021,54,Female,Premium,2,20
VWR0022,56,Female,Standard,9,80
VWR0023,59,Female,Premium,3,30
VWR0024,19,Female,Standard,1,10
VWR0025,29,Female,Basic,6,50
VWR0026,21,Male,Standard,2,20
VWR0027,35,Non-Binary,Basic,2,120
VWR0028,19,Male,Standard,4,10
VWR0029,63,Male,Premium,9,80
VWR0030,41,Female,Premium,6,50
VWR0031,22,Male,Standard,2,20
VWR0032,35,Male,Standard,1,10
VWR0033,62,Female,Basic,2,90
VWR0034,18,Male,Standard,6,50
VWR0035,47,Female,Standard,1,10
VWR0036,47,Male,Premium,4,10
VWR0037,23,Male,Standard,1,10
VWR0038,28,Female,Basic,10,40
VWR0039,64,Non-Binary,Basic,2,20
VWR0040,30,Female,Standard,5,40
VWR0041,63,Male,Basic,2,110
VWR0042,44,Male,Basic,4,10
VWR0043,29,Non-Binary,Basic,9,80
VWR0044,49,Male,Standard,2,20
VWR0045,51,Male,Standard,7,60
VWR0046,20,Non-Binary,Standard,8,70
VWR0047,54,Male,Standard,1,10
VWR0048,31,Male,Premium,2,100
VWR0049,65,Female,Basic,4,10
VWR0050,34,Male,Basic,7,60
VWR0051,51,Female,Basic,9,80
VWR0052,55,Male,Standard,1,10
VWR0053,20,Male,Basic,5,40
VWR0054,28,Male,Basic,2,20
VWR0055,24,Male,Standard,5,40
VWR0056,52,Male,Basic,1,10
