fact_id,content_id,platform_id,viewer_id,watch_date,watch_time_minutes,user_rating,playback_audio_lang_id,subtitle_lang_setting
1,CNT1006,2,VWR2420,2024-02-15,98,5.0,70,None
2,CNT0423,3,VWR0711,2026-01-04,522,2.9,100,None
3,CNT0368,5,VWR1664,2024-12-14,51,4.2,90,None
4,CNT0658,1,VWR4281,2026-05-07,550,3.1,10,None
5,CNT0927,3,VWR1473,2024-04-20,69,4.2,10,None
6,CNT1500,1,VWR1866,2024-12-04,65,3.2,40,None
7,CNT1055,2,VWR2230,2025-01-15,167,4.9,100,40
8,CNT0591,1,VWR1224,2024-09-05,67,3.9,70,20
9,CNT0014,3,VWR4953,2024-03-28,132,4.7,10,None
10,CNT0464,1,VWR0893,2026-03-22,392,3.3,10,110
11,CNT0576,2,VWR0254,2026-04-06,135,4.6,10,None
12,CNT1395,2,VWR3815,2026-05-04,74,3.4,70,80
13,CNT1412,2,VWR2489,2024-02-16,100,4.1,50,10
14,CNT0468,5,VWR0760,2024-08-10,85,4.0,10,90
15,CNT0166,2,VWR4115,2024-04-21,107,5.0,70,None
16,CNT0637,5,VWR1333,2025-02-22,80,3.4,40,None
17,CNT0892,3,VWR1779,2025-11-26,631,2.9,20,None
18,CNT0262,5,VWR3417,2024-08-06,338,3.8,80,None
19,CNT1092,3,VWR1178,2024-07-19,78,5.0,40,None
20,CNT0606,2,VWR1522,2024-05-11,311,3.7,10,None
21,CNT0670,5,VWR0957,2024-03-10,552,5.0,50,10
22,CNT0052,3,VWR2713,2024-02-17,763,3.6,10,None
23,CNT0472,3,VWR4539,2026-01-23,102,2.9,60,None
24,CNT0904,1,VWR3250,2025-04-29,152,3.7,90,10
25,CNT1091,5,VWR1053,2025-07-07,136,3.1,60,10
26,CNT0915,4,VWR0648,2026-01-10,355,3.8,10,None
27,CNT0642,4,VWR1701,2024-03-14,144,4.4,10,None
28,CNT1138,2,VWR2949,2025-09-10,393,2.7,90,None
29,CNT0812,1,VWR1052,2024-04-07,85,5.0,40,30
30,CNT0527,1,VWR2158,2024-08-13,43,4.1,10,20
31,CNT0794,4,VWR0669,2024-10-11,587,3.1,30,10
32,CNT0627,2,VWR2888,2025-12-25,67,4.6,90,None
33,CNT0438,3,VWR0567,2025-09-01,71,4.0,10,None
34,CNT0465,5,VWR1861,2026-04-18,238,3.5,70,None
35,CNT0924,1,VWR1349,2025-09-29,91,3.7,20,None
36,CNT0422,5,VWR2479,2024-08-19,111,3.7,10,None
37,CNT1229,4,VWR4066,2025-01-08,94,3.1,20,None
38,CNT1284,5,VWR0564,2026-01-21,528,3.6,60,None
39,CNT0190,2,VWR3901,2025-06-08,492,5.0,90,60
40,CNT0237,3,VWR3002,2025-08-09,133,2.9,10,None
41,CNT0446,5,VWR3739,2025-03-23,644,3.9,80,50
42,CNT0093,2,VWR1726,2024-08-07,78,4.2,120,None
43,CNT1234,2,VWR2634,2024-09-27,710,4.6,50,None
44,CNT1405,5,VWR0964,2024-11-15,82,3.4,10,40
45,CNT0448,1,VWR3247,2025-07-22,448,2.6,80,None
46,CNT0941,4,VWR0148,2024-08-14,524,4.1,10,None
47,CNT0724,2,VWR3295,2024-01-13,42,4.6,40,10
48,CNT1126,5,VWR1267,2024-05-03,81,3.6,10,None
49,CNT0261,5,VWR0991,2025-08-17,339,4.2,20,None
50,CNT0338,2,VWR3939,2025-07-22,265,5.0,50,10
51,CNT0874,3,VWR2142,2025-12-26,131,3.4,80,None
52,CNT1479,4,VWR2951,2025-10-21,81,3.5,70,None
53,CNT1168,1,VWR1361,2025-11-09,80,4.5,20,80
54,CNT0560,2,VWR4449,2024-12-26,81,3.3,90,None
55,CNT0517,5,VWR2168,2024-07-29,79,2.5,60,None
56,CNT0188,4,VWR0922,2025-06-17,148,3.6,10,30
57,CNT0720,2,VWR0804,2024-06-06,207,3.9,40,None
58,CNT0958,1,VWR4566,2025-11-29,456,4.0,50,10
59,CNT0629,5,VWR4581,2025-12-28,131,3.9,80,None
60,CNT0195,3,VWR0682,2025-12-06,94,4.6,40,None
61,CNT0741,5,VWR4526,2026-04-05,144,2.5,10,None
62,CNT0506,2,VWR4094,2025-08-10,148,5.0,10,70
63,CNT0840,4,VWR1585,2025-12-06,169,3.4,10,None
64,CNT0945,5,VWR3504,2025-06-16,592,3.6,80,None
65,CNT0430,3,VWR2957,2026-03-18,92,5.0,10,None
66,CNT0183,3,VWR3978,2024-09-20,142,4.5,10,None
67,CNT0451,2,VWR4550,2024-01-25,541,3.0,10,None
68,CNT0886,5,VWR4026,2026-05-25,78,2.6,30,None
69,CNT0027,1,VWR4015,2026-05-19,131,3.7,40,None
70,CNT0459,1,VWR4996,2024-04-18,123,3.9,10,None
71,CNT0631,5,VWR2319,2024-07-06,271,3.3,30,None
72,CNT0321,5,VWR0612,2024-09-24,151,4.1,40,None
73,CNT0027,4,VWR0713,2024-01-03,159,3.0,10,100
74,CNT0513,3,VWR3771,2025-12-21,72,3.7,10,None
75,CNT1288,1,VWR4939,2025-08-07,747,2.8,110,None
76,CNT0782,2,VWR3721,2025-09-19,97,5.0,10,None
77,CNT0793,2,VWR3704,2024-07-04,715,3.1,40,None
78,CNT0397,2,VWR3753,2024-07-04,354,3.4,10,None
79,CNT0118,3,VWR2981,2025-06-05,147,3.0,80,None
80,CNT0744,3,VWR3842,2024-04-16,124,3.4,90,80
81,CNT0742,1,VWR3637,2025-09-24,71,3.9,80,None
82,CNT1396,4,VWR2750,2024-11-11,91,2.9,10,None
83,CNT1385,5,VWR4089,2024-07-29,109,4.4,90,None
84,CNT0869,5,VWR4162,2024-12-14,83,5.0,50,None
85,CNT1313,5,VWR4509,2025-03-06,115,5.0,10,None
86,CNT0972,4,VWR1643,2024-12-21,119,4.1,10,120
87,CNT1211,3,VWR2404,2026-04-29,65,3.6,10,100
88,CNT0557,2,VWR4065,2024-02-22,515,3.3,10,None
89,CNT0308,3,VWR4015,2025-02-09,92,2.9,120,40
90,CNT1218,3,VWR3226,2026-04-07,163,2.4,10,None
91,CNT1062,3,VWR3641,2025-11-02,475,3.3,60,None
92,CNT0907,2,VWR0642,2024-12-23,554,4.2,40,None
93,CNT0564,1,VWR3632,2024-09-15,73,3.0,10,None
94,CNT0747,1,VWR1978,2025-03-29,137,2.8,120,None
95,CNT1146,5,VWR2236,2025-11-26,88,3.0,50,120
96,CNT0530,3,VWR2727,2024-01-28,527,3.7,80,10
97,CNT0573,2,VWR4539,2024-02-03,690,3.7,60,None
98,CNT0407,5,VWR4372,2025-01-15,123,3.8,10,None
99,CNT0387,5,VWR1529,2026-01-08,111,3.8,10,None
100,CNT0088,4,VWR2267,2026-04-10,121,4.9,80,None
101,CNT0429,2,VWR0454,2026-04-02,787,3.8,110,40
102,CNT0362,2,VWR2110,2026-05-08,80,3.8,60,None
103,CNT0835,2,VWR2958,2025-06-12,533,2.7,60,None
104,CNT0597,4,VWR3233,2025-04-23,97,3.6,30,None
105,CNT0885,5,VWR0306,2024-09-10,583,4.1,10,None
106,CNT1269,1,VWR3888,2024-09-27,81,3.5,100,None
107,CNT1452,4,VWR4716,2024-10-17,103,5.0,10,None
108,CNT0894,5,VWR0368,2025-05-09,131,4.5,80,None
109,CNT0672,5,VWR0942,2025-02-05,95,2.7,20,None
110,CNT1299,2,VWR3845,2024-07-26,127,3.7,10,None
111,CNT0045,3,VWR3499,2024-03-30,95,4.0,30,None
112,CNT0553,1,VWR3876,2025-06-24,125,4.5,50,10
113,CNT0705,5,VWR1503,2025-02-23,241,3.8,80,None
114,CNT0964,1,VWR2738,2025-03-19,723,3.6,70,None
115,CNT1304,4,VWR4439,2025-11-27,120,4.8,30,None
116,CNT0195,4,VWR1790,2025-08-06,73,3.4,110,None
